商品编码,库存量,在库天数
174,21,15
175,90,22
176,98,84
177,161,43
178,84,27
179,101,88
180,144,32
181,154,7
182,186,38
183,36,50
184,177,114
185,27,8
186,51,71
187,13,109
188,86,108
189,183,22
190,7,48
191,38,32
192,15,10
193,165,54
194,88,25
195,60,59
196,35,8
197,129,107
198,29,67
199,65,104
200,175,10
201,42,114
202,119,43
203,144,61
204,63,30
205,135,55
206,14,82
207,124,34
208,117,46
209,90,105
210,177,13
211,127,39
212,18,110
213,40,116
214,194,98
215,178,14
216,153,88
217,37,114
218,164,93
219,17,92
220,40,16
221,5,89
222,161,118
223,190,6
224,27,86
225,175,29
226,80,37
227,159,77
228,76,6
229,36,76
230,194,105
231,100,107
232,51,78
233,174,95
234,91,62
235,42,30
236,173,47
237,102,59
238,190,30
239,18,91
240,57,59
241,155,60
242,86,44
243,177,113
244,145,115
245,36,65
246,198,119
247,88,10
248,62,68
249,11,58
250,53,88
251,184,18
252,83,66
253,195,22
254,13,72
255,59,86
256,13,101
257,182,33
258,18,46
259,100,0
260,159,86
261,192,53
262,110,38
263,113,14
264,179,109
265,101,98
266,9,48
267,136,113
268,186,106
269,37,63
270,191,76
271,50,105
272,61,78
273,174,33
274,195,13
275,139,77
276,37,38
277,39,24
278,60,22
279,168,14
280,36,76
281,156,65
282,146,32
283,144,32
284,53,36
285,177,25
286,132,69
287,50,3
288,44,115
289,110,46
290,27,82
291,1,117
292,38,42
293,17,79
294,197,65
295,21,15
296,93,91
297,144,42
298,33,48
299,28,18
300,62,89
301,106,18
302,167,22
303,126,88
304,8,37
305,161,80
306,21,21
307,7,96
308,69,13
309,56,81
310,64,89
311,197,43
312,45,74
313,84,37
314,122,46
315,129,33
316,142,58
317,183,45
318,56,0
319,25,23
320,172,7
321,55,51
322,48,14
323,61,9
324,7,86
325,3,30
326,179,13
327,194,63
328,78,65
329,39,80
330,148,95
331,117,104
332,60,117
333,24,42
334,82,101
335,174,112
336,50,5
337,87,24
338,7,104
339,115,10
340,10,74
341,53,85
342,171,87
343,180,0
344,58,57
345,140,112
346,32,117
347,47,118
348,93,35
349,106,22
350,155,72
351,151,68
352,14,0
353,16,13
354,179,115
355,144,101
356,124,80
357,21,13
358,160,93
359,138,54
360,174,71
361,4,95
362,32,61
363,32,3
364,62,46
365,114,109
366,21,75
367,99,66
368,194,10
369,174,37
370,146,81
371,196,74
372,51,38
373,165,93
374,187,61
375,137,11
376,129,106
377,198,67
378,59,93
379,197,22
380,71,35
381,194,110
382,17,19
383,90,78
384,47,40
385,198,75
386,4,12
387,13,31
388,127,79
389,155,3
390,185,13
391,149,13
392,54,28
393,195,52
394,104,9
395,7,59
396,195,78
397,56,101
398,40,90
399,99,10
400,115,31
401,162,20
402,179,8
403,191,95
404,32,48
405,168,51
406,153,21
407,109,33
408,53,28
409,1,42
410,38,90
411,56,76
412,74,112
413,193,6
414,34,51
415,183,90
416,151,21
417,78,0
418,98,116
419,184,69
420,30,104
421,18,100
422,37,18
423,139,116
424,83,56
425,138,84
426,125,33
427,14,87
428,1,85
429,173,56
430,38,84
431,175,36
432,3,14
433,19,62
434,106,17
435,144,42
436,14,112
437,22,96
438,150,17
439,54,29
440,63,112
441,112,56
442,119,115
443,154,52
444,113,55
445,195,87
446,162,74
447,165,52
448,42,75
449,175,45
450,2,51
451,115,3
452,26,114
453,184,14
454,144,72
455,106,47
456,117,71
457,51,6
458,101,3
459,10,115
460,60,8
461,148,33
462,38,45
463,168,4
464,170,107
465,31,119
466,85,29
467,56,34
468,181,55
469,39,92
470,148,73
471,124,9
472,168,46
473,177,64
474,144,29
475,144,56
476,83,59
477,35,6
478,134,29
479,132,51
480,56,70
481,39,38
482,159,21
483,196,5
484,158,13
485,131,89
486,70,86
487,194,4
488,199,85
489,96,101
490,44,107
491,78,78
492,40,39
493,47,82
494,43,50
495,86,116
496,116,79
497,162,34
498,147,102
499,110,66
500,194,53
501,100,59
502,12,59
503,115,59
504,172,72
505,154,115
506,75,102
507,37,82
508,187,79
509,160,44
510,179,32
511,32,3
512,1,43
513,65,10
514,14,96
515,183,52
516,68,10
517,67,28
518,69,82
519,65,63
520,109,36
521,16,106
522,84,5
523,80,111
524,10,85
525,157,27
526,153,106
527,131,13
528,60,79
529,65,102
530,178,3
531,182,11
532,43,43
533,176,35
534,82,12
535,103,59
536,182,75
537,7,11
538,196,1
539,183,91
540,106,84
541,62,32
542,89,10
543,198,113
544,76,41
545,30,89
546,21,100
547,18,71
548,61,89
549,37,106
550,53,2
551,7,59
552,126,93
553,129,76
554,182,103
555,2,33
556,9,34
557,15,118
558,110,64
559,66,30
560,127,102
561,132,15
562,71,71
563,53,98
564,142,23
565,115,26
566,180,49
567,11,118
568,141,15
569,150,47
570,113,73
571,92,84
572,43,68
573,140,60
574,29,80
575,108,54
576,190,12
577,75,14
578,188,114
579,91,37
580,109,90
581,60,50
582,160,57
583,14,60
584,77,80
585,131,79
586,6,5
587,147,60
588,77,75
589,133,58
590,193,107
591,177,67
592,88,37
593,108,112
594,168,21
595,47,86
596,120,72
597,140,75
598,69,116
599,57,93
600,42,66
601,185,55
602,129,75
603,11,16
604,121,52
605,196,88
606,11,87
607,60,62
608,54,3
609,11,70
610,3,30
611,112,112
612,116,57
613,92,9
614,150,90
615,153,29
616,141,48
617,27,14
618,96,50
619,9,51
620,66,13
621,183,35
622,102,19
623,160,47
624,107,37
625,88,113
626,166,12
627,13,74
628,36,12
629,28,25
630,42,5
631,7,119
632,163,68
633,39,11
634,186,2
635,101,37
636,11,36
637,42,19
638,40,47
639,104,13
640,116,55
641,24,42
642,102,68
643,112,52
644,76,43
645,73,14
646,140,117
647,150,31
648,153,34
649,39,85
650,73,113
651,48,12
652,46,19
653,164,93
654,9,40
655,76,107
656,10,36
657,78,115
658,63,115
659,155,53
660,59,40
661,132,60
662,92,48
663,40,75
664,56,54
665,69,4
666,181,63
667,197,97
668,46,94
669,33,16
670,53,113
671,175,94
672,133,84
673,198,15
674,125,91
675,63,16
676,187,72
677,171,101
678,141,102
679,181,5
680,76,59
681,155,101
682,66,69
683,178,104
684,72,58
685,185,13
686,10,50
687,26,64
688,57,90
689,121,51
690,148,60
691,69,107
692,154,18
693,3,24
694,185,34
695,157,67
696,197,32
697,128,4
698,187,14
699,194,104
700,85,32
701,104,53
702,4,97
703,101,24
704,57,106
705,186,42
706,118,89
707,174,84
708,57,26
709,159,72
710,77,65
711,155,55
712,92,63
713,29,67
714,4,35
715,32,109
716,37,68
717,17,74
718,16,42
719,65,1
720,146,58
721,116,71
722,94,14
723,3,73
724,31,2
725,142,116
726,58,33
727,51,59
728,12,18
729,126,95
730,153,2
731,138,63
732,187,104
733,17,102
734,155,15
735,1,108
736,118,86
737,61,13
738,188,2
739,21,96
740,49,119
741,100,23
742,92,64
743,120,99
744,198,58
745,51,2
746,158,93
747,108,84
748,96,117
749,179,105
750,69,44
751,75,2
752,57,68
753,138,103
754,62,13
755,116,78
756,38,76
757,153,93
758,183,45
759,64,101
760,190,65
761,128,32
762,29,8
763,157,3
764,45,73
765,100,83
766,102,119
767,189,91
768,176,87
769,33,7
770,186,104
771,169,110
772,195,109
773,149,59
774,101,77
775,59,66
776,131,85
777,75,91
778,67,57
779,188,75
780,26,42
781,160,20
782,18,70
783,132,12
784,182,112
785,108,72
786,109,11
787,171,33
788,45,97
789,122,29
790,150,115
791,0,38
792,69,108
793,198,52
794,168,96
795,12,52
796,90,110
797,186,3
798,171,114
799,161,57
800,55,60
801,168,35
802,84,40
803,88,27
804,6,83
805,48,37
806,159,103
807,105,75
808,180,89
809,179,10
810,164,5
811,147,18
812,154,97
813,161,0
814,88,23
815,42,28
816,13,101
817,135,62
818,64,47
819,124,117
820,52,67
821,125,35
822,24,47
823,158,119
824,108,16
825,80,68
826,191,28
827,5,103
828,91,47
829,44,71
830,59,113
831,146,43
832,191,66
833,193,19
834,181,89
835,95,37
836,166,116
837,191,111
838,99,68
839,3,102
840,22,59
841,48,111
842,33,89
843,199,17
844,55,55
845,40,35
846,158,82
847,90,39
848,72,118
849,148,67
850,116,8
851,154,31
852,123,107
853,8,14
854,126,42
855,67,45
856,170,54
857,132,33
858,76,31
859,127,86
860,141,47
861,97,33
862,87,21
863,171,40
864,33,99
865,119,23
866,95,81
867,1,68
868,107,19
869,105,67
870,2,95
871,36,20
872,105,101
873,187,115
874,133,7
875,193,85
876,1,34
877,15,119
878,118,20
879,4,62
880,184,20
881,131,112
882,125,47
883,36,111
884,105,5
885,39,51
886,44,92
887,177,88
888,178,102
889,140,70
890,131,13
891,162,80
892,64,1
893,0,20
894,67,88
895,7,14
896,185,17
897,171,48
898,64,15
899,32,74
900,140,115
901,120,70
902,165,100
903,179,103
904,99,4
905,192,117
906,118,46
907,21,65
908,45,15
909,199,5
910,28,11
911,141,0
912,95,10
913,114,10
914,114,74
915,43,35
916,47,8
917,194,83
918,139,40
919,156,20
920,136,22
921,17,86
922,149,53
923,111,84
924,197,107
925,152,83
926,118,88
927,107,92
928,68,111
929,122,35
930,17,119
931,168,0
932,189,110
933,167,16
934,147,70
935,128,95
936,62,70
937,143,64
938,70,76
939,27,51
940,13,6
941,178,31
942,172,24
943,132,79
944,25,78
945,121,83
946,192,54
947,32,32
948,123,92
949,147,21
950,169,116
951,104,14
952,62,44
953,79,18
954,0,34
955,47,116
956,72,42
957,26,16
958,133,56
959,9,81
960,94,109
961,143,1
962,13,33
963,27,36
964,96,4
965,10,81
966,141,114
967,121,34
968,16,109
969,160,57
970,184,102
971,118,90
972,10,27
973,158,49
974,100,2
975,24,23
976,69,49
977,33,55
978,66,23
979,30,46
980,187,71
981,83,42
982,194,40
983,81,113
984,53,49
985,169,54
986,180,54
987,125,118
988,43,92
989,140,82
990,87,46
991,107,73
992,88,109
993,36,3
994,51,90
995,55,6
996,162,17
997,119,60
998,83,36
999,163,33
1000,113,44
1001,62,110
1002,168,22
1003,111,73
1004,112,22
1005,163,112
1006,61,16
1007,144,72
1008,120,62
1009,192,74
1010,53,98
1011,99,24
1012,121,108
1013,29,11
1014,125,89
1015,7,18
1016,69,47
1017,148,78
1018,52,6
1019,107,91
1020,117,83
1021,48,37
1022,148,31
1023,141,112
1024,66,89
1025,73,23
1026,154,87
1027,81,9
1028,78,72
1029,59,98
1030,191,43
1031,33,78
1032,129,102
1033,19,43
1034,115,112
1035,111,18
1036,95,17
1037,179,52
1038,46,1
1039,196,113
1040,89,96
1041,113,50
1042,1,104
1043,48,2
1044,40,101
1045,160,67
1046,52,33
1047,188,1
1048,150,30
1049,114,43
1050,165,113
1051,172,112
1052,19,105
1053,52,30
1054,176,62
1055,27,97
1056,132,33
1057,48,15
1058,2,11
1059,39,81
1060,68,44
1061,16,34
1062,198,97
1063,121,99
1064,166,65
1065,126,113
1066,45,56
1067,199,33
1068,18,45
1069,174,116
1070,78,73
1071,50,31
1072,101,38
1073,96,18
1074,78,37
1075,2,108
1076,0,14
1077,122,74
1078,54,65
1079,174,0
1080,25,60
1081,62,3
1082,83,10
1083,138,23
1084,139,33
1085,182,30
1086,167,22
1087,15,81
1088,17,101
1089,154,42
1090,96,74
1091,33,49
1092,148,79
1093,197,12
1094,145,114
1095,178,49
1096,182,44
1097,162,61
1098,146,82
1099,34,70
1100,120,73
1101,84,93
1102,139,26
1103,7,113
1104,75,28
1105,181,98
1106,149,42
1107,180,41
1108,189,97
1109,22,11
1110,186,67
1111,3,76
1112,88,22
1113,137,45
1114,1,69
1115,86,32
1116,168,112
1117,25,17
1118,120,27
1119,161,58
1120,100,18
1121,57,51
1122,165,110
1123,136,26
1124,86,4
1125,56,65
1126,116,17
1127,76,62
1128,10,93
1129,119,55
1130,91,114
1131,94,93
1132,34,81
1133,154,1
1134,87,116
1135,5,18
1136,69,83
1137,131,83
1138,11,48
1139,174,95
1140,96,15
1141,7,82
1142,106,78
1143,174,25
1144,108,25
1145,142,38
1146,79,92
1147,4,114
1148,98,16
1149,47,109
1150,168,68
1151,48,62
1152,194,23
1153,85,58
1154,36,26
1155,43,10
1156,197,50
1157,177,113
1158,39,23
1159,89,30
1160,165,57
1161,117,109
1162,183,65
1163,75,95
1164,23,17
1165,94,48
1166,88,42
1167,31,102
1168,24,118
1169,3,67
1170,113,16
1171,105,53
1172,157,78
1173,130,112
1174,57,19
1175,183,102
1176,164,27
1177,110,12
1178,66,54
1179,32,55
1180,80,91
1181,38,58
1182,189,105
1183,65,31
1184,15,12
1185,68,62
1186,182,19
1187,67,64
1188,100,117
1189,59,95
1190,15,16
1191,183,69
1192,148,106
1193,61,66
1194,132,111
1195,16,88
1196,24,119
1197,33,30
1198,98,29
1199,66,36
1200,44,28
1201,59,21
1202,194,24
1203,154,90
1204,191,89
1205,183,84
1206,67,56
1207,92,96
1208,47,12
1209,133,70
1210,58,77
1211,111,63
1212,113,47
1213,45,7
1214,135,87
1215,38,82
1216,24,31
1217,190,78
1218,89,52
1219,98,110
1220,4,46
1221,125,115
1222,159,81
1223,118,58
1224,147,8
1225,74,47
1226,81,18
1227,28,86
1228,24,50
1229,45,18
1230,166,117
1231,160,33
1232,135,85
1233,25,47
1234,43,8
1235,195,96
1236,111,9
1237,45,69
1238,104,43
1239,74,44
1240,104,67
1241,64,111
1242,127,22
1243,94,91
1244,119,89
1245,130,74
1246,150,115
1247,153,71
1248,112,77
1249,25,105
1250,140,82
1251,163,47
1252,198,21
1253,11,56
1254,121,41
1255,70,98
1256,92,63
1257,172,39
1258,177,53
1259,196,59
1260,198,70
1261,66,108
1262,11,102
1263,173,11
1264,112,53
1265,125,85
1266,77,56
1267,195,97
1268,26,55
1269,146,104
1270,65,89
1271,125,24
1272,89,48
1273,136,94
1274,53,103
1275,24,116
1276,155,109
1277,2,37
1278,162,87
1279,60,16
1280,61,111
1281,186,66
1282,116,85
1283,11,33
1284,120,59
1285,66,85
1286,108,95
1287,48,24
1288,12,96
1289,63,37
1290,119,106
1291,149,61
1292,98,80
1293,13,115
1294,21,14
1295,18,107
1296,12,54
1297,183,84
1298,183,71
1299,48,6
1300,65,114
1301,192,70
1302,172,112
1303,64,91
1304,44,72
1305,34,72
1306,199,103
1307,116,112
1308,44,39
1309,13,85
1310,58,11
1311,34,99
1312,135,108
1313,155,73
1314,40,110
1315,37,21
1316,197,81
1317,106,37
1318,66,95
1319,67,91
1320,173,8
1321,137,38
1322,54,106
1323,116,82
1324,96,67
1325,149,110
1326,143,12
1327,106,115
1328,118,11
1329,193,12
1330,156,92
1331,34,32
1332,133,32
1333,122,96
1334,112,3
1335,75,49
1336,70,17
1337,43,43
1338,120,5
1339,31,105
1340,60,78
1341,106,41
1342,172,8
1343,115,8
1344,84,116
1345,161,115
1346,53,27
1347,17,69
1348,11,36
1349,59,80
1350,171,28
1351,141,49
1352,169,76
1353,101,113
1354,73,34
1355,11,45
1356,146,31
1357,161,91
1358,109,75
1359,123,103
1360,66,16
1361,88,69
1362,11,47
1363,129,79
1364,60,47
1365,56,116
1366,7,98
1367,174,79
1368,69,32
1369,31,33
1370,6,23
1371,27,47
1372,30,79
1373,22,48
1374,95,75
1375,12,24
1376,169,47
1377,199,34
1378,190,115
1379,186,49
1380,166,19
1381,141,69
1382,4,64
1383,136,2
1384,17,39
1385,171,95
1386,2,38
1387,107,70
1388,86,12
1389,50,15
1390,30,95
1391,91,102
1392,199,54
1393,8,48
1394,16,64
1395,119,60
1396,11,100
1397,96,12
1398,113,50
1399,75,6
1400,198,1
1401,167,102
1402,105,3
1403,13,19
1404,33,28
1405,23,95
1406,6,71
1407,148,115
1408,108,16
1409,94,77
1410,60,87
1411,66,5
1412,113,52
1413,176,63
1414,6,48
1415,62,48
1416,16,99
1417,175,104
1418,93,77
1419,70,94
1420,95,95
1421,195,31
1422,118,60
1423,151,50
1424,152,84
1425,17,75
1426,187,55
1427,107,71
1428,55,89
1429,78,72
1430,126,102
1431,33,62
1432,145,71
1433,17,119
1434,111,54
1435,18,112
1436,107,100
1437,74,101
1438,119,60
1439,117,16
1440,141,23
1441,54,0
1442,26,95
1443,17,35
1444,76,32
1445,87,104
1446,167,3
1447,80,87
1448,39,27
1449,84,86
1450,34,19
1451,87,73
1452,48,119
1453,72,81
1454,45,50
1455,16,93
1456,22,99
1457,65,42
1458,66,114
1459,138,18
1460,18,113
1461,145,106
1462,3,115
1463,44,83
1464,73,69
1465,158,79
1466,93,117
1467,116,77
1468,135,6
1469,142,19
1470,178,2
1471,155,66
1472,154,75
1473,30,101
1474,33,90
1475,54,119
1476,133,104
1477,1,20
1478,103,30
1479,139,45
1480,0,24
1481,191,12
1482,164,76
1483,132,13
1484,193,81
1485,192,91
1486,92,96
1487,81,27
1488,155,112
1489,38,56
1490,86,14
1491,186,13
1492,50,115
1493,88,73
1494,142,53
1495,86,88
1496,101,70
1497,47,23
1498,72,106
1499,165,109
1500,153,59
