商品编码,商品名称,部门编号,品类,零售价,进货价
142,商品-142,5,纸品,1967.64,1457.60
143,商品-143,6,小家电,2608.30,1850.36
144,商品-144,1,蔬果,458.86,345.64
145,商品-145,2,肉禽,226.04,146.33
146,商品-146,3,水产,830.37,686.06
147,商品-147,4,米面,38.43,31.20
148,商品-148,5,食用油,3319.92,2339.66
149,商品-149,6,乳品,1455.78,1178.48
150,商品-150,1,熟食,156.10,107.22
151,商品-151,2,饼干,933.96,671.47
152,商品-152,3,饮料,1547.60,1247.57
153,商品-153,4,清洁,2097.05,1617.65
154,商品-154,5,纸品,1519.63,1191.28
155,商品-155,6,小家电,259.86,217.79
156,商品-156,1,蔬果,170.22,141.48
157,商品-157,2,肉禽,916.88,726.38
158,商品-158,3,水产,1969.42,1225.27
159,商品-159,4,米面,2222.17,1450.51
160,商品-160,5,食用油,1742.75,1106.71
161,商品-161,6,乳品,3189.97,2661.67
162,商品-162,1,熟食,530.26,443.48
163,商品-163,2,饼干,1255.29,879.22
164,商品-164,3,饮料,1721.48,1147.43
165,商品-165,4,清洁,1466.37,1021.48
166,商品-166,5,纸品,2295.08,1752.20
167,商品-167,6,小家电,527.99,390.94
168,商品-168,1,蔬果,370.32,231.46
169,商品-169,2,肉禽,407.13,276.57
170,商品-170,3,水产,1258.44,1063.89
171,商品-171,4,米面,1673.12,1337.57
172,商品-172,5,食用油,530.30,368.54
173,商品-173,6,乳品,2649.18,1772.20
174,商品-174,1,熟食,496.89,355.65
175,商品-175,2,饼干,262.52,199.24
176,商品-176,3,饮料,1218.92,862.14
177,商品-177,4,清洁,2282.69,1631.97
178,商品-178,5,纸品,3133.81,2459.18
179,商品-179,6,小家电,2214.88,1683.80
180,商品-180,1,蔬果,659.86,479.24
181,商品-181,2,肉禽,269.52,215.97
182,商品-182,3,水产,1595.12,1015.98
183,商品-183,4,米面,5.81,4.16
184,商品-184,5,食用油,3102.37,2485.74
185,商品-185,6,乳品,27.32,17.61
186,商品-186,1,熟食,650.76,544.96
187,商品-187,2,饼干,914.59,752.39
188,商品-188,3,饮料,126.33,101.57
189,商品-189,4,清洁,963.39,746.59
190,商品-190,5,纸品,2785.66,1716.03
191,商品-191,6,小家电,1824.92,1245.93
192,商品-192,1,蔬果,468.50,291.30
193,商品-193,2,肉禽,1113.12,832.37
194,商品-194,3,水产,1483.99,1136.42
195,商品-195,4,米面,1700.11,1235.41
196,商品-196,5,食用油,2568.51,2101.62
197,商品-197,6,乳品,486.28,353.48
198,商品-198,1,熟食,32.03,26.24
199,商品-199,2,饼干,1235.10,775.36
200,商品-200,3,饮料,1765.38,1175.72
201,商品-201,4,清洁,1352.02,946.12
202,商品-202,5,纸品,599.23,378.34
203,商品-203,6,小家电,1140.90,836.38
204,商品-204,1,蔬果,152.78,125.97
205,商品-205,2,肉禽,388.43,243.00
206,商品-206,3,水产,1671.91,1027.10
207,商品-207,4,米面,1452.39,1148.28
208,商品-208,5,食用油,877.71,577.76
209,商品-209,6,乳品,3064.47,1872.44
210,商品-210,1,熟食,555.35,451.09
211,商品-211,2,饼干,33.93,23.64
212,商品-212,3,饮料,965.97,713.11
213,商品-213,4,清洁,1176.11,816.35
214,商品-214,5,纸品,2455.03,1520.55
215,商品-215,6,小家电,400.01,310.00
216,商品-216,1,蔬果,50.18,35.75
217,商品-217,2,肉禽,1032.65,770.73
218,商品-218,3,水产,1507.47,1119.33
219,商品-219,4,米面,936.28,583.68
220,商品-220,5,食用油,1463.36,976.39
221,商品-221,6,乳品,657.05,496.71
222,商品-222,1,熟食,570.03,374.79
223,商品-223,2,饼干,858.18,569.00
224,商品-224,3,饮料,864.68,712.75
225,商品-225,4,清洁,1273.59,984.10
226,商品-226,5,纸品,2783.46,1678.34
227,商品-227,6,小家电,2240.51,1834.42
228,商品-228,1,蔬果,300.86,249.50
229,商品-229,2,肉禽,568.30,466.30
230,商品-230,3,水产,1929.84,1374.03
231,商品-231,4,米面,2056.93,1306.35
232,商品-232,5,食用油,3160.24,2382.90
233,商品-233,6,乳品,62.01,42.70
234,商品-234,1,熟食,144.57,117.08
235,商品-235,2,饼干,488.14,399.23
236,商品-236,3,饮料,713.25,506.44
237,商品-237,4,清洁,1233.11,1009.04
238,商品-238,5,纸品,2560.98,1878.20
239,商品-239,6,小家电,146.77,106.74
240,商品-240,1,蔬果,141.32,105.43
241,商品-241,2,肉禽,1194.71,881.30
242,商品-242,3,水产,1404.23,1108.73
243,商品-243,4,米面,992.54,753.21
244,商品-244,5,食用油,2630.32,2156.83
245,商品-245,6,乳品,3774.87,2397.33
246,商品-246,1,熟食,141.77,97.16
247,商品-247,2,饼干,328.89,242.72
248,商品-248,3,饮料,1680.47,1182.72
249,商品-249,4,清洁,2452.43,1656.75
250,商品-250,5,纸品,124.39,75.30
251,商品-251,6,小家电,369.20,258.98
252,商品-252,1,蔬果,587.20,432.22
253,商品-253,2,肉禽,474.16,325.10
254,商品-254,3,水产,1993.10,1290.79
255,商品-255,4,米面,406.49,265.30
256,商品-256,5,食用油,1142.28,831.16
257,商品-257,6,乳品,2153.91,1717.63
258,商品-258,1,熟食,96.04,77.61
259,商品-259,2,饼干,683.12,452.65
260,商品-260,3,饮料,1678.88,1061.41
261,商品-261,4,清洁,631.52,499.57
262,商品-262,5,纸品,3023.00,1848.31
263,商品-263,6,小家电,1615.39,1281.48
264,商品-264,1,蔬果,267.08,161.96
265,商品-265,2,肉禽,350.17,292.55
266,商品-266,3,水产,148.86,99.22
267,商品-267,4,米面,1652.61,1360.77
268,商品-268,5,食用油,1769.98,1276.60
269,商品-269,6,乳品,2619.58,1739.69
270,商品-270,1,熟食,445.77,356.63
271,商品-271,2,饼干,1302.06,906.20
272,商品-272,3,饮料,525.29,384.38
273,商品-273,4,清洁,1551.29,1103.93
274,商品-274,5,纸品,330.45,270.94
275,商品-275,6,小家电,2147.66,1605.33
276,商品-276,1,蔬果,156.62,98.03
277,商品-277,2,肉禽,144.83,109.68
278,商品-278,3,水产,261.94,200.03
279,商品-279,4,米面,2662.40,1675.71
280,商品-280,5,食用油,2346.49,1804.14
281,商品-281,6,乳品,657.39,414.12
282,商品-282,1,熟食,339.30,238.42
283,商品-283,2,饼干,106.74,75.99
284,商品-284,3,饮料,465.69,375.27
285,商品-285,4,清洁,2385.35,1525.78
286,商品-286,5,纸品,2357.12,1486.78
287,商品-287,6,小家电,2133.41,1410.11
288,商品-288,1,蔬果,596.84,433.76
289,商品-289,2,肉禽,662.69,530.54
290,商品-290,3,水产,1122.07,792.64
291,商品-291,4,米面,1222.94,862.02
292,商品-292,5,食用油,1486.94,970.86
293,商品-293,6,乳品,2870.83,2164.74
294,商品-294,1,熟食,399.38,294.05
295,商品-295,2,饼干,273.36,197.96
296,商品-296,3,饮料,408.36,294.28
297,商品-297,4,清洁,1010.45,804.22
298,商品-298,5,纸品,2706.20,1648.88
299,商品-299,6,小家电,1139.70,708.38
300,商品-300,1,蔬果,203.02,168.94
301,商品-301,2,肉禽,194.51,160.48
302,商品-302,3,水产,147.31,110.87
303,商品-303,4,米面,988.73,622.47
304,商品-304,5,食用油,830.04,507.93
305,商品-305,6,乳品,1362.70,859.39
306,商品-306,1,熟食,587.37,474.88
307,商品-307,2,饼干,535.81,333.18
308,商品-308,3,饮料,390.11,269.28
309,商品-309,4,清洁,2066.58,1463.84
310,商品-310,5,纸品,2654.26,2255.60
311,商品-311,6,小家电,671.26,415.70
312,商品-312,1,蔬果,181.99,109.79
313,商品-313,2,肉禽,629.05,509.45
314,商品-314,3,水产,1835.47,1548.97
315,商品-315,4,米面,1042.54,676.97
316,商品-316,5,食用油,692.70,513.85
317,商品-317,6,乳品,2960.34,2222.55
318,商品-318,1,熟食,417.70,351.06
319,商品-319,2,饼干,893.58,739.18
320,商品-320,3,饮料,1299.52,1044.89
321,商品-321,4,清洁,1656.01,1049.01
322,商品-322,5,纸品,3011.84,2142.52
323,商品-323,6,小家电,1456.40,1197.71
324,商品-324,1,蔬果,155.28,129.61
325,商品-325,2,肉禽,964.63,729.92
326,商品-326,3,水产,1748.12,1341.67
327,商品-327,4,米面,202.04,138.99
328,商品-328,5,食用油,3186.78,2607.46
329,商品-329,6,乳品,2447.09,1548.07
330,商品-330,1,熟食,114.31,88.50
331,商品-331,2,饼干,778.53,614.53
332,商品-332,3,饮料,706.82,456.07
333,商品-333,4,清洁,38.52,25.69
334,商品-334,5,纸品,3057.04,1889.27
335,商品-335,6,小家电,72.86,44.20
336,商品-336,1,蔬果,446.19,360.60
337,商品-337,2,肉禽,157.97,116.53
338,商品-338,3,水产,946.72,609.90
339,商品-339,4,米面,943.20,591.45
340,商品-340,5,食用油,92.25,70.17
341,商品-341,6,乳品,1933.24,1369.67
342,商品-342,1,熟食,544.20,386.74
343,商品-343,2,饼干,1135.46,852.41
344,商品-344,3,饮料,815.81,645.29
345,商品-345,4,清洁,488.76,346.87
346,商品-346,5,纸品,1073.53,704.76
347,商品-347,6,小家电,2470.08,1678.82
348,商品-348,1,蔬果,129.89,87.30
349,商品-349,2,肉禽,1309.69,939.44
350,商品-350,3,水产,1895.38,1190.06
351,商品-351,4,米面,631.45,411.73
352,商品-352,5,食用油,983.42,823.50
353,商品-353,6,乳品,707.43,562.96
354,商品-354,1,熟食,413.42,292.46
355,商品-355,2,饼干,675.53,538.93
356,商品-356,3,饮料,1047.13,778.64
357,商品-357,4,清洁,1719.65,1152.97
358,商品-358,5,纸品,1004.08,759.89
359,商品-359,6,小家电,3355.29,2398.08
360,商品-360,1,蔬果,330.25,216.94
361,商品-361,2,肉禽,528.95,441.10
362,商品-362,3,水产,1811.76,1103.26
363,商品-363,4,米面,34.67,26.66
364,商品-364,5,食用油,1069.28,812.50
365,商品-365,6,乳品,3299.18,2165.39
366,商品-366,1,熟食,518.29,357.37
367,商品-367,2,饼干,116.01,87.89
368,商品-368,3,饮料,486.74,349.04
369,商品-369,4,清洁,2031.68,1649.24
370,商品-370,5,纸品,1821.01,1204.92
371,商品-371,6,小家电,1781.86,1346.88
372,商品-372,1,蔬果,59.99,44.91
373,商品-373,2,肉禽,154.45,121.38
374,商品-374,3,水产,1035.49,841.34
375,商品-375,4,米面,1074.41,763.15
376,商品-376,5,食用油,1876.86,1527.35
377,商品-377,6,乳品,3997.97,2584.67
378,商品-378,1,熟食,21.50,17.22
379,商品-379,2,饼干,526.95,375.97
380,商品-380,3,饮料,1103.26,893.08
381,商品-381,4,清洁,1948.61,1297.15
382,商品-382,5,纸品,1380.09,996.05
383,商品-383,6,小家电,344.43,291.76
384,商品-384,1,蔬果,503.87,330.52
385,商品-385,2,肉禽,216.31,133.66
386,商品-386,3,水产,1158.94,892.22
387,商品-387,4,米面,2459.27,2065.08
388,商品-388,5,食用油,1454.82,898.11
389,商品-389,6,乳品,2996.75,2447.77
390,商品-390,1,熟食,82.12,66.35
391,商品-391,2,饼干,938.85,654.74
392,商品-392,3,饮料,686.22,429.19
393,商品-393,4,清洁,2400.71,1545.76
394,商品-394,5,纸品,1773.09,1165.66
395,商品-395,6,小家电,2206.75,1411.60
396,商品-396,1,蔬果,419.11,262.22
397,商品-397,2,肉禽,20.80,13.89
398,商品-398,3,水产,408.32,313.54
399,商品-399,4,米面,587.62,357.67
400,商品-400,5,食用油,1765.10,1202.25
401,商品-401,6,乳品,3927.54,2509.39
402,商品-402,1,熟食,146.39,89.31
403,商品-403,2,饼干,1156.59,943.94
404,商品-404,3,饮料,106.84,84.35
405,商品-405,4,清洁,1109.24,808.73
406,商品-406,5,纸品,424.08,345.46
407,商品-407,6,小家电,1432.38,964.73
408,商品-408,1,蔬果,168.75,106.50
409,商品-409,2,肉禽,1086.31,814.39
410,商品-410,3,水产,224.87,149.98
411,商品-411,4,米面,2456.46,1496.90
412,商品-412,5,食用油,116.33,89.41
413,商品-413,6,乳品,1573.79,947.23
414,商品-414,1,熟食,297.58,192.62
415,商品-415,2,饼干,434.45,283.97
416,商品-416,3,饮料,1475.28,910.72
417,商品-417,4,清洁,557.16,428.31
418,商品-418,5,纸品,2048.92,1471.61
419,商品-419,6,小家电,3339.73,2215.49
420,商品-420,1,蔬果,37.83,25.12
421,商品-421,2,肉禽,951.20,739.17
422,商品-422,3,水产,1349.96,921.75
423,商品-423,4,米面,506.53,360.86
424,商品-424,5,食用油,2007.72,1223.90
425,商品-425,6,乳品,846.40,663.96
426,商品-426,1,熟食,193.20,149.09
427,商品-427,2,饼干,791.38,647.27
428,商品-428,3,饮料,837.35,641.26
429,商品-429,4,清洁,736.97,574.40
430,商品-430,5,纸品,2248.53,1840.40
431,商品-431,6,小家电,3405.92,2441.87
432,商品-432,1,蔬果,369.41,288.07
433,商品-433,2,肉禽,809.04,559.49
434,商品-434,3,水产,120.83,73.39
435,商品-435,4,米面,936.46,708.22
436,商品-436,5,食用油,1823.39,1449.36
437,商品-437,6,乳品,2780.11,1847.21
438,商品-438,1,熟食,9.95,6.88
439,商品-439,2,饼干,868.08,650.66
440,商品-440,3,饮料,1784.29,1272.76
441,商品-441,4,清洁,2021.48,1394.98
442,商品-442,5,纸品,2389.47,1906.65
443,商品-443,6,小家电,3200.26,2700.22
444,商品-444,1,蔬果,467.43,295.63
445,商品-445,2,肉禽,1005.97,795.19
446,商品-446,3,水产,1922.68,1570.33
447,商品-447,4,米面,238.46,155.87
448,商品-448,5,食用油,2444.04,1498.29
449,商品-449,6,乳品,3154.31,2539.08
450,商品-450,1,熟食,252.01,170.05
451,商品-451,2,饼干,1253.77,837.07
452,商品-452,3,饮料,1908.70,1332.72
453,商品-453,4,清洁,261.61,166.26
454,商品-454,5,纸品,2239.33,1556.93
455,商品-455,6,小家电,133.47,84.05
456,商品-456,1,蔬果,481.02,317.96
457,商品-457,2,肉禽,136.18,107.97
458,商品-458,3,水产,1702.75,1083.45
459,商品-459,4,米面,768.55,622.26
460,商品-460,5,食用油,2034.89,1327.54
461,商品-461,6,乳品,1014.01,693.15
462,商品-462,1,熟食,671.09,520.25
463,商品-463,2,饼干,186.50,144.96
464,商品-464,3,饮料,845.30,645.47
465,商品-465,4,清洁,2584.05,1799.87
466,商品-466,5,纸品,3223.00,2719.09
467,商品-467,6,小家电,1997.55,1557.21
468,商品-468,1,蔬果,175.15,113.39
469,商品-469,2,肉禽,1153.17,898.04
470,商品-470,3,水产,1802.53,1258.78
471,商品-471,4,米面,416.72,338.34
472,商品-472,5,食用油,3088.33,2430.11
473,商品-473,6,乳品,1106.35,883.22
474,商品-474,1,熟食,257.75,203.64
475,商品-475,2,饼干,149.84,117.13
476,商品-476,3,饮料,605.07,388.36
477,商品-477,4,清洁,633.69,420.68
478,商品-478,5,纸品,229.09,181.08
479,商品-479,6,小家电,2649.50,1647.44
480,商品-480,1,蔬果,474.49,344.37
481,商品-481,2,肉禽,432.97,260.69
482,商品-482,3,水产,1545.90,952.96
483,商品-483,4,米面,2656.25,1654.04
484,商品-484,5,食用油,1587.35,1300.09
485,商品-485,6,乳品,1850.98,1304.88
486,商品-486,1,熟食,309.57,207.00
487,商品-487,2,饼干,716.65,512.79
488,商品-488,3,饮料,1382.01,890.62
489,商品-489,4,清洁,807.60,666.02
490,商品-490,5,纸品,415.78,258.44
491,商品-491,6,小家电,60.91,39.32
492,商品-492,1,蔬果,641.29,538.34
493,商品-493,2,肉禽,1275.10,833.84
494,商品-494,3,水产,669.09,550.69
495,商品-495,4,米面,674.86,466.87
496,商品-496,5,食用油,2970.48,1793.03
497,商品-497,6,乳品,2194.04,1525.41
498,商品-498,1,熟食,185.69,149.47
499,商品-499,2,饼干,1022.10,808.22
500,商品-500,3,饮料,1719.78,1405.39
501,商品-501,4,清洁,250.03,187.90
502,商品-502,5,纸品,1948.42,1386.66
503,商品-503,6,小家电,635.12,517.92
504,商品-504,1,蔬果,485.80,299.45
505,商品-505,2,肉禽,182.46,128.85
506,商品-506,3,水产,261.17,157.34
507,商品-507,4,米面,1279.61,797.57
508,商品-508,5,食用油,1184.98,823.44
509,商品-509,6,乳品,2341.74,1682.17
510,商品-510,1,熟食,397.65,316.05
511,商品-511,2,饼干,604.97,388.78
512,商品-512,3,饮料,153.78,107.65
513,商品-513,4,清洁,2017.47,1660.05
514,商品-514,5,纸品,1968.56,1519.59
515,商品-515,6,小家电,1670.85,1176.62
516,商品-516,1,蔬果,433.37,275.31
517,商品-517,2,肉禽,534.53,451.93
518,商品-518,3,水产,1318.03,1111.17
519,商品-519,4,米面,2330.93,1523.21
520,商品-520,5,食用油,2807.39,1977.57
521,商品-521,6,乳品,747.87,473.62
522,商品-522,1,熟食,373.88,235.75
523,商品-523,2,饼干,653.14,415.12
524,商品-524,3,饮料,849.58,719.34
525,商品-525,4,清洁,1256.11,836.64
526,商品-526,5,纸品,1472.52,968.38
527,商品-527,6,小家电,3444.54,2094.50
528,商品-528,1,蔬果,220.03,135.45
529,商品-529,2,肉禽,1188.32,797.99
530,商品-530,3,水产,1782.55,1470.39
531,商品-531,4,米面,1757.60,1486.45
532,商品-532,5,食用油,1901.01,1519.94
533,商品-533,6,乳品,938.93,729.56
534,商品-534,1,熟食,24.43,17.61
535,商品-535,2,饼干,361.72,296.94
536,商品-536,3,饮料,1605.18,1284.98
537,商品-537,4,清洁,1418.15,984.02
538,商品-538,5,纸品,2694.64,2104.78
539,商品-539,6,小家电,3886.02,3173.51
540,商品-540,1,蔬果,506.05,402.16
541,商品-541,2,肉禽,850.86,646.67
542,商品-542,3,水产,207.70,138.84
543,商品-543,4,米面,2648.10,1944.81
544,商品-544,5,食用油,1348.05,892.53
545,商品-545,6,乳品,2285.98,1528.74
546,商品-546,1,熟食,398.16,296.53
547,商品-547,2,饼干,277.13,186.04
548,商品-548,3,饮料,1185.08,759.51
549,商品-549,4,清洁,332.94,215.90
550,商品-550,5,纸品,332.18,232.80
551,商品-551,6,小家电,158.13,121.21
552,商品-552,1,蔬果,64.52,51.47
553,商品-553,2,肉禽,845.09,654.08
554,商品-554,3,水产,1578.13,1264.25
555,商品-555,4,米面,979.08,710.71
556,商品-556,5,食用油,580.06,405.49
557,商品-557,6,乳品,775.80,521.78
558,商品-558,1,熟食,160.91,97.91
559,商品-559,2,饼干,17.24,12.50
560,商品-560,3,饮料,1447.47,1228.38
561,商品-561,4,清洁,567.63,445.67
562,商品-562,5,纸品,2636.53,1593.54
563,商品-563,6,小家电,2825.94,2036.25
564,商品-564,1,蔬果,276.63,205.04
565,商品-565,2,肉禽,1048.89,751.45
566,商品-566,3,水产,1823.79,1532.11
567,商品-567,4,米面,2541.40,2069.30
568,商品-568,5,食用油,1695.07,1043.47
569,商品-569,6,乳品,2090.40,1563.17
570,商品-570,1,熟食,77.43,62.30
571,商品-571,2,饼干,911.26,642.53
572,商品-572,3,饮料,339.37,259.19
573,商品-573,4,清洁,2361.61,1990.93
574,商品-574,5,纸品,812.28,537.09
575,商品-575,6,小家电,3303.48,2387.29
576,商品-576,1,蔬果,74.11,51.68
577,商品-577,2,肉禽,321.90,234.36
578,商品-578,3,水产,1137.01,700.42
579,商品-579,4,米面,96.56,67.21
580,商品-580,5,食用油,2671.84,1852.15
581,商品-581,6,乳品,3860.41,2657.63
582,商品-582,1,熟食,319.44,201.75
583,商品-583,2,饼干,268.38,202.69
584,商品-584,3,饮料,1016.56,732.11
585,商品-585,4,清洁,2001.66,1619.12
586,商品-586,5,纸品,675.29,515.75
587,商品-587,6,小家电,882.87,642.97
588,商品-588,1,蔬果,544.10,459.62
589,商品-589,2,肉禽,686.76,556.20
590,商品-590,3,水产,810.57,633.96
591,商品-591,4,米面,478.63,354.18
592,商品-592,5,食用油,1675.15,1079.14
593,商品-593,6,乳品,3600.52,2789.30
594,商品-594,1,熟食,449.14,324.09
595,商品-595,2,饼干,317.95,201.91
596,商品-596,3,饮料,1017.68,827.11
597,商品-597,4,清洁,540.15,373.83
598,商品-598,5,纸品,1798.73,1177.40
599,商品-599,6,小家电,3839.48,2366.17
600,商品-600,1,蔬果,254.67,203.84
601,商品-601,2,肉禽,1069.86,803.55
602,商品-602,3,水产,1067.57,741.75
603,商品-603,4,米面,298.17,212.76
604,商品-604,5,食用油,132.11,104.34
605,商品-605,6,乳品,2255.47,1584.95
606,商品-606,1,熟食,286.39,183.31
607,商品-607,2,饼干,857.73,514.77
608,商品-608,3,饮料,443.64,366.76
609,商品-609,4,清洁,202.97,169.96
610,商品-610,5,纸品,1549.22,992.40
611,商品-611,6,小家电,314.95,244.99
612,商品-612,1,蔬果,146.14,100.04
613,商品-613,2,肉禽,16.56,13.89
614,商品-614,3,水产,496.65,343.73
615,商品-615,4,米面,2430.26,1466.77
616,商品-616,5,食用油,3168.49,2035.42
617,商品-617,6,乳品,3019.84,2492.14
618,商品-618,1,熟食,55.94,47.40
619,商品-619,2,饼干,1331.44,832.48
620,商品-620,3,饮料,1197.64,758.21
621,商品-621,4,清洁,1556.70,1131.15
622,商品-622,5,纸品,1753.36,1260.90
623,商品-623,6,小家电,3821.09,2824.93
624,商品-624,1,蔬果,315.73,218.83
625,商品-625,2,肉禽,1065.72,830.35
626,商品-626,3,水产,1899.27,1520.10
627,商品-627,4,米面,1722.69,1154.70
628,商品-628,5,食用油,819.56,493.45
629,商品-629,6,乳品,3651.72,2627.01
630,商品-630,1,熟食,519.65,336.10
631,商品-631,2,饼干,681.61,545.14
632,商品-632,3,饮料,67.84,47.52
633,商品-633,4,清洁,933.72,656.90
634,商品-634,5,纸品,2802.55,2076.37
635,商品-635,6,小家电,2754.97,2094.49
636,商品-636,1,蔬果,626.62,512.85
637,商品-637,2,肉禽,335.09,275.38
638,商品-638,3,水产,899.08,589.77
